problem_id;pl;country;score
0;php;Iran;15.00;1
0;php;Armenia;15.00;1
0;php;Nepal;15.00;1
0;php;Cyprus;15.00;1
0;php;Kazakhstan;15.00;1
0;php;Poland;15.00;1
0;php;Belarus;15.00;2
0;php;Japan;15.00;2
0;php;Fiji;15.00;1
0;php;Malaysia;15.00;4
0;php;Mexico;15.00;4
0;php;Netherlands;15.00;2
0;php;Ukraine;15.00;4
0;php;Philippines;15.00;3
0;php;Australia;15.00;3
0;php;Germany;15.00;3
0;php;Thailand;15.00;1
0;php;United Arab Emirates;15.00;1
0;php;Mongolia;15.00;1
0;php;Portugal;15.00;1
0;php;Indonesia;15.00;5
0;php;Bulgaria;15.00;2
0;php;Viet Nam;15.00;3
0;php;Pakistan;15.00;2
0;php;Croatia;15.00;2
0;php;Algeria;15.00;1
0;php;Colombia;15.00;1
0;php;Ecuador;15.00;2
0;php;South Africa;15.00;3
0;php;Turkey;15.00;1
0;php;Romania;15.00;3
0;php;Hong Kong;15.00;1
0;php;Uzbekistan;15.00;2
0;php;Madagascar;15.00;1
0;php;Ireland;15.00;1
0;php;Lithuania;15.00;1
0;php;Macedonia;15.00;1
0;php;New Zealand;15.00;1
0;php;Germany;12.15;1
0;php;India;12.15;1
0;php;Hungary;12.15;1
0;php;United States;12.15;1
0;php;Bangladesh;12.15;1
0;php;Austria;12.15;1
0;php;Myanmar;12.15;1
0;php;Poland;12.15;1
0;php;Russian Federation;12.15;1
0;php;Nigeria;12.15;2
0;php;Egypt;12.15;1
0;php;Indonesia;12.15;3
0;php;Turkey;12.15;1
0;php;Spain;12.00;1
0;php;Iran;12.00;1
0;php;Mexico;12.00;1
0;php;Germany;12.00;1
0;php;South Korea;12.00;1
0;php;Malaysia;12.00;1
0;php;Nepal;12.00;1
0;php;Greece;12.00;1
0;php;France;12.00;1
0;php;Pakistan;12.00;1
0;php;Russia;12.00;2
0;php;Vietnam;12.00;1
0;php;Romania;12.00;1
0;php;India;12.00;2
0;php;Indonesia;12.00;1
0;php;Brazil;12.00;1
0;php;Estonia;12.00;1
0;php;United States;11.70;4
0;php;India;11.70;24
0;php;Ukraine;11.70;1
0;php;Bangladesh;11.70;1
0;php;Thailand;11.70;1
0;php;Indonesia;11.70;4
0;php;France;11.70;3
0;php;Poland;11.70;1
0;php;Australia;11.70;1
0;php;Switzerland;11.70;1
0;php;China;11.70;2
0;php;Null;11.70;2
0;php;Brazil;11.70;2
0;php;Vietnam;11.70;2
0;php;Russia;11.70;3
0;php;Cambodia;11.70;1
0;php;Germany;11.70;1
0;php;Argentina;11.70;1
0;php;Canada;11.70;1
0;php;Pakistan;11.70;1
0;php;Romania;11.70;2
0;php;Nigeria;11.70;1
0;php;Hungary;11.70;1
0;php;Spain;11.70;1
0;php;Viet Nam;11.70;2
0;php;Japan;11.70;1
0;python;India;15.00;303
0;python;Canada;15.00;15
0;python;South Africa;15.00;5
0;python;Mexico;15.00;4
0;python;Sri Lanka;15.00;14
0;python;Turkey;15.00;8
0;python;United States;15.00;119
0;python;Germany;15.00;11
0;python;Poland;15.00;7
0;python;China;15.00;6
0;python;Israel;15.00;4
0;python;Belarus;15.00;1
0;python;Australia;15.00;6
0;python;Netherlands;15.00;4
0;python;Japan;15.00;3
0;python;United Kingdom;15.00;14
0;python;Hungary;15.00;3
0;python;France;15.00;6
0;python;Spain;15.00;2
0;python;Belgium;15.00;1
0;python;Brazil;15.00;3
0;python;Portugal;15.00;1
0;python;Viet Nam;15.00;6
0;python;Romania;15.00;4
0;python;Puerto Rico;15.00;1
0;python;Hong Kong;15.00;1
0;python;Italy;15.00;4
0;python;Austria;15.00;1
0;python;Argentina;15.00;1
0;python;Indonesia;15.00;5
0;python;Egypt;15.00;1
0;python;Malaysia;15.00;2
0;python;Switzerland;15.00;1
0;python;Norway;15.00;1
0;python;Singapore;15.00;5
0;python;Russian Federation;15.00;2
0;python;South Korea;15.00;1
0;python;Sudan;15.00;1
0;python;Moldova;15.00;1
0;python;Null;15.00;2
0;python;Asia/Pacific Region;15.00;1
0;python;Taiwan;15.00;1
0;python;Philippines;15.00;1
0;python;Pakistan;15.00;1
0;python;Vietnam;15.00;2
0;python;Algeria;15.00;1
0;python;Russia;15.00;2
0;python;Costa Rica;15.00;2
0;python;Ghana;15.00;1
0;python;Thailand;15.00;1
0;python;Serbia;15.00;1
0;python;Lebanon;15.00;1
0;python;Greece;15.00;1
0;python;Dominican Republic;15.00;1
0;python;Georgia;15.00;1
0;python;Bangladesh;15.00;1
0;python;Croatia;15.00;1
0;python;Austria;11.10;1
0;python;India;11.10;2
0;python;Netherlands;11.07;1
0;python;India;10.95;1
0;python;United Kingdom;10.95;1
0;python;United States;10.935;9
0;python;United Kingdom;10.935;3
0;python;India;10.935;9
0;python;Nepal;10.935;1
0;python;Canada;10.935;2
0;python;Republic of Lithuania;10.935;1
0;python;Mexico;10.935;1
0;python;Philippines;10.935;1
0;python;Indonesia;10.935;1
0;python;China;10.935;1
0;python;Germany;10.935;1
0;python;South Africa;10.935;1
0;python;Pakistan;10.935;1
0;python;Sri Lanka;10.935;1
0;python;India;10.80;1
0;python;India;10.692;1
0;python;United Kingdom;10.665;1
0;python;India;10.65;3
0;python;United States;10.53;3
0;python;India;10.53;9
0;python;Palestine, State of;10.53;1
0;python;Canada;10.53;1
0;python;Indonesia;10.53;1
0;python;India;10.50;9
0;python;United States;10.50;1
0;python;Tunisia;10.50;1
0;python;South Korea;10.50;1
0;python;United States;10.497;1
0;python;Russian Federation;10.35;1
0;python;United States;10.35;1
0;python;India;10.35;1
0;python;India;10.26;3
0;python;United States;10.26;2
0;python;Sri Lanka;10.20;1
0;python;India;10.20;1
